X[s],"Trigno IM sensor 15: EMG 15 (IM)",X[s],"Trigno IM sensor 15: ACC X 15 (IM)",X[s],"Trigno IM sensor 15: ACC Y 15 (IM)",X[s],"Trigno IM sensor 15: ACC Z 15 (IM)",X[s],"Trigno IM sensor 15: Gyro X 15 (IM)",X[s],"Trigno IM sensor 15: Gyro Y 15 (IM)",X[s],"Trigno IM sensor 15: Gyro Z 15 (IM)",X[s],"Trigno IM sensor 15: Mag X 15 (IM)",X[s],"Trigno IM sensor 15: Mag Y 15 (IM)",X[s],"Trigno IM sensor 15: Mag Z 15 (IM)"
0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0
0.0009,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.0135,0,0.0135,0,0.0135,0
0.0018,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.027,-0.8,0.027,-89.2,0.027,-25.9
0.0027,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.0405,-0.9,0.0405,-89,0.0405,-25.8
0.0036,0,0.027,-0.4697266,0.027,-0.4812012,0.027,0.5825195,0.027,1.038168,0.027,1.099237,0.027,-0.05343511,0.054,-1,0.054,-89.5,0.054,-26.5
0.0045,0,0.03375,-0.4711914,0.03375,-0.4899902,0.03375,0.578125,0.03375,1.137405,0.03375,1.343511,0.03375,-0.1755725,0.0675,-1,0.0675,-89.3,0.0675,-25.9
0.0054,0,0.0405,-0.4660645,0.0405,-0.4875488,0.0405,0.5915527,0.0405,0.9389313,0.0405,1.312977,0.0405,-0.09923664,0.081,-1,0.081,-89.1,0.081,-25.9
0.0063,0,0.04725,-0.4665527,0.04725,-0.4882813,0.04725,0.5913086,0.04725,0.961832,0.04725,1.160305,0.04725,-0.03816794,0.0945,-1.1,0.0945,-89.1,0.0945,-25.5
0.0072,0,0.054,-0.4650879,0.054,-0.4848633,0.054,0.5881348,0.054,0.9847328,0.054,1.549618,0.054,-0.3053435,0.108,-1,0.108,-89.5,0.108,-26.2
0.0081,0,0.06075,-0.4760742,0.06075,-0.4934082,0.06075,0.5844727,0.06075,1.099237,0.06075,1.618321,0.06075,-0.7022901,0.1215,-1.2,0.1215,-89.3,0.1215,-26
0.009000001,0,0.0675,-0.4694824,0.0675,-0.4873047,0.0675,0.597168,0.0675,1.091603,0.0675,1.251908,0.0675,-0.4198473,0.135,-1.3,0.135,-88.4,0.135,-25.7
0.0099,0,0.07425,-0.4665527,0.07425,-0.4853516,0.07425,0.5993652,0.07425,1.083969,0.07425,1.534351,0.07425,-0.2290076,0.1485,-1.4,0.1485,-89.3,0.1485,-25.8
0.0108,0,0.081,-0.4638672,0.081,-0.4816895,0.081,0.5952148,0.081,0.7938932,0.081,1.587786,0.081,-0.389313,0.162,-1,0.162,-89,0.162,-24.7
0.0117,0,0.08775,-0.4753418,0.08775,-0.4882813,0.08775,0.5979004,0.08775,0.8091603,0.08775,1.473282,0.08775,-0.4045801,0.1755,-1,0.1755,-88.9,0.1755,-25.2
0.0126,0,0.0945,-0.4570313,0.0945,-0.4870605,0.0945,0.6008301,0.0945,0.8091603,0.0945,1.725191,0.0945,-0.5114504,0.189,-1,0.189,-88.6,0.189,-24.4
0.0135,0,0.10125,-0.463623,0.10125,-0.4970703,0.10125,0.5915527,0.10125,0.7328244,0.10125,1.900763,0.10125,-0.5496183,0.2025,-1.6,0.2025,-88.7,0.2025,-25.9
0.0144,0,0.108,-0.4633789,0.108,-0.4819336,0.108,0.6044922,0.108,1,0.108,2.007634,0.108,-0.4885496,0.216,-1.7,0.216,-89,0.216,-26.8
0.0153,0,0.11475,-0.4672852,0.11475,-0.4873047,0.11475,0.5932617,0.11475,1.045802,0.11475,1.954198,0.11475,-0.4580153,0.2295,-1,0.2295,-89.1,0.2295,-26.3
0.0162,0,0.1215,-0.4680176,0.1215,-0.4865723,0.1215,0.5949707,0.1215,1.076336,0.1215,1.732824,0.1215,-0.3206107,0.243,-1.3,0.243,-88.9,0.243,-26.5
0.0171,0,0.12825,-0.4604492,0.12825,-0.4838867,0.12825,0.6005859,0.12825,0.9465649,0.12825,1.793893,0.12825,0.09160306,0.2565,-1.4,0.2565,-89.3,0.2565,-26.6
0.018,0,0.135,-0.4570313,0.135,-0.4899902,0.135,0.590332,0.135,0.7938932,0.135,1.694656,0.135,0.1908397,0.27,-1.2,0.27,-89.2,0.27,-25.5
0.0189,0,0.14175,-0.4587402,0.14175,-0.4885254,0.14175,0.5942383,0.14175,0.8015267,0.14175,1.519084,0.14175,0.3206107,0.2835,-1.6,0.2835,-88.9,0.2835,-25.3
0.0198,0,0.1485,-0.4519043,0.1485,-0.4838867,0.1485,0.5996094,0.1485,0.5419847,0.1485,1.412214,0.1485,0.3740458,0.297,-1.6,0.297,-89.1,0.297,-26.5
0.0207,0,0.15525,-0.4614258,0.15525,-0.4885254,0.15525,0.597168,0.15525,0.7099237,0.15525,1.160305,0.15525,0.5038168,0.3105,-1.7,0.3105,-89.1,0.3105,-25.9
0.0216,0,0.162,-0.4580078,0.162,-0.4885254,0.162,0.598877,0.162,0.8473282,0.162,1.419847,0.162,0.6412213,0.324,-1.7,0.324,-89.2,0.324,-26.9
0.0225,0,0.16875,-0.4597168,0.16875,-0.4831543,0.16875,0.588623,0.16875,0.6564885,0.16875,1.29771,0.16875,0.4351145,0.3375,-1.1,0.3375,-89.4,0.3375,-24.2
0.0234,0,0.1755,-0.4648438,0.1755,-0.4885254,0.1755,0.5854492,0.1755,0.6030535,0.1755,1.045802,0.1755,0.5267175,0.351,-1.3,0.351,-88.9,0.351,-25.6
0.0243,0,0.18225,-0.4685059,0.18225,-0.4956055,0.18225,0.5786133,0.18225,0.5877863,0.18225,0.9007633,0.18225,0.2519084,0.3645,-1.6,0.3645,-89.4,0.3645,-25.6
0.0252,0,0.189,-0.4655762,0.189,-0.4958496,0.189,0.5837402,0.189,0.610687,0.189,0.870229,0.189,0.259542,0.378,0,0.378,0,0.378,0
0.0261,0,0.19575,-0.4609375,0.19575,-0.4960938,0.19575,0.5837402,0.19575,0.9770992,0.19575,0.480916,0.19575,-0.0610687,0.3915,0,0.3915,0,0.3915,0
0.027,-6.579691E-05,0.2025,-0.4665527,0.2025,-0.4924316,0.2025,0.5837402,0.2025,1.114504,0.2025,0.4351145,0.2025,0.1984733,0.405,0,0.405,0,0.405,0
0.0279,-2.333105E-05,0.20925,-0.4714355,0.20925,-0.4929199,0.20925,0.5852051,0.20925,1.183206,0.20925,0.389313,0.20925,0.07633588,0.4185,0,0.4185,0,0.4185,0
0.0288,2.030976E-05,0.216,-0.4614258,0.216,-0.4897461,0.216,0.5878906,0.216,1.053435,0.216,0.2671756,0.216,0.02290076,0.432,0,0.432,0,0.432,0
0.0297,6.395057E-05,0.22275,-0.4624023,0.22275,-0.487793,0.22275,0.5898438,0.22275,1.045802,0.22275,0.129771,0.22275,-0.1526718,0.4455,0,0.4455,0,0.4455,0
0.0306,0.0001139696,0.2295,-0.4611816,0.2295,-0.486084,0.2295,0.5998535,0.2295,1.068702,0.2295,0.1755725,0.2295,-0.221374,0.459,0,0.459,0,0.459,0
0.0315,0.0001517357,0.23625,-0.4645996,0.23625,-0.480957,0.23625,0.5983887,0.23625,0.9007633,0.23625,0.221374,0.23625,-0.1068702,0.4725,0,0.4725,0,0.4725,0
0.0324,0.000173724,0.243,-0.4555664,0.243,-0.4841309,0.243,0.5961914,0.243,0.6183206,0.243,0.2519084,0.243,-0.2519084,0.486,0,0.486,0,0.486,0
0.0333,0.0001690242,0.24975,-0.4580078,0.24975,-0.4858398,0.24975,0.6003418,0.24975,0.6946565,0.24975,0.3969466,0.24975,-0.1374046,0.4995,0,0.4995,0,0.4995,0
0.0342,0.0001633173,0.2565,-0.4541016,0.2565,-0.4821777,0.2565,0.6057129,0.2565,0.3664122,0.2565,0.5114504,0.2565,-0.03816794,0.513,0,0.513,0,0.513,0
0.0351,0.0001448539,0.26325,-0.4619141,0.26325,-0.4833984,0.26325,0.6071777,0.26325,0.4580153,0.26325,0.6793893,0.26325,0.07633588,0.5265,0,0.5265,0,0.5265,0
0.036,0.00010692,0.27,-0.4587402,0.27,-0.4838867,0.27,0.598877,0.27,0.3435115,0.27,0.7709923,0.27,0.3587786,0.54,0,0.54,0,0.54,0
0.0369,6.210422E-05,0.27675,-0.4604492,0.27675,-0.486084,0.27675,0.6010742,0.27675,0.02290076,0.27675,1.244275,0.27675,0.4045801,0.5535,0,0.5535,0,0.5535,0
0.0378,-1.678492E-07,0.2835,-0.4575195,0.2835,-0.4821777,0.2835,0.6074219,0.2835,-0.1068702,0.2835,1.358779,0.2835,0.4656489,0.567,0,0.567,0,0.567,0
0.0387,-4.515145E-05,0.29025,-0.4533691,0.29025,-0.4812012,0.29025,0.6008301,0.29025,-0.1526718,0.29025,1.625954,0.29025,0.4274809,0.5805,0,0.5805,0,0.5805,0
0.0396,-9.634547E-05,0.297,-0.463623,0.297,-0.4804688,0.297,0.6003418,0.297,-0.1679389,0.297,1.709924,0.297,0.6870229,0.594,0,0.594,0,0.594,0
0.0405,-0.0001319295,0.30375,-0.4606934,0.30375,-0.4831543,0.30375,0.6057129,0.30375,-0.5496183,0.30375,1.671756,0.30375,0.740458,0.6075,0,0.6075,0,0.6075,0
0.0414,-0.0001529107,0.3105,-0.4599609,0.3105,-0.4853516,0.3105,0.590332,0.3105,-0.4503817,0.3105,1.618321,0.3105,0.6259542,0.621,0,0.621,0,0.621,0
0.0423,-0.0001619745,0.31725,-0.4609375,0.31725,-0.482666,0.31725,0.5925293,0.31725,-0.4732825,0.31725,1.793893,0.31725,0.5496183,0.6345,0,0.6345,0,0.6345,0
0.0432,-0.0001460288,0.324,-0.4660645,0.324,-0.4807129,0.324,0.5932617,0.324,-0.648855,0.324,1.824427,0.324,0.7480916,0.648,0,0.648,0,0.648,0
0.0441,-0.0001262226,0.33075,-0.4624023,0.33075,-0.4853516,0.33075,0.5964355,0.33075,-0.5801527,0.33075,1.839695,0.33075,0.740458,0.6615,0,0.6615,0,0.6615,0
0.045,-0.0001148089,0.3375,-0.4580078,0.3375,-0.4865723,0.3375,0.5957031,0.3375,-0.6641222,0.3375,1.954198,0.3375,0.6335878,0.675,0,0.675,0,0.675,0
0.0459,-9.970245E-05,0.34425,-0.4609375,0.34425,-0.4897461,0.34425,0.5976563,0.34425,-0.7251908,0.34425,2.015267,0.34425,0.648855,0.6885,0,0.6885,0,0.6885,0
0.0468,-6.848249E-05,0.351,-0.4697266,0.351,-0.4833984,0.351,0.5976563,0.351,-0.6183206,0.351,1.954198,0.351,0.778626,0.702,0,0.702,0,0.702,0
0.0477,-3.440909E-05,0.35775,-0.4680176,0.35775,-0.4907227,0.35775,0.597168,0.35775,-0.6564885,0.35775,1.954198,0.35775,0.8091603,0.7155,0,0.7155,0,0.7155,0
0.0486,-2.349889E-06,0.3645,-0.4724121,0.3645,-0.4875488,0.3645,0.5827637,0.3645,-0.6946565,0.3645,1.755725,0.3645,0.6717557,0.729,0,0.729,0,0.729,0
0.0495,3.709468E-05,0.37125,-0.4699707,0.37125,-0.4855957,0.37125,0.5947266,0.37125,-0.7022901,0.37125,1.923664,0.37125,0.7099237,0.7425,0,0.7425,0,0.7425,0
0.0504,0.0001022202,0.378,0,0.378,0,0.378,0,0.378,0,0.378,0,0.378,0,0.756,0,0.756,0,0.756,0
0.0513,0.0001111162,0.38475,0,0.38475,0,0.38475,0,0.38475,0,0.38475,0,0.38475,0,0.7695,0,0.7695,0,0.7695,0
0.0522,0.0001206836,0.3915,0,0.3915,0,0.3915,0,0.3915,0,0.3915,0,0.3915,0,0.783,0,0.783,0,0.783,0
0.0531,0.0001418326,0.39825,0,0.39825,0,0.39825,0,0.39825,0,0.39825,0,0.39825,0,0.7965,0,0.7965,0,0.7965,0
0.054,0.0001374685,0.405,0,0.405,0,0.405,0,0.405,0,0.405,0,0.405,0,0.81,0,0.81,0,0.81,0
0.0549,0.0001156481,0.41175,0,0.41175,0,0.41175,0,0.41175,0,0.41175,0,0.41175,0,0.8235,0,0.8235,0,0.8235,0
0.0558,8.778515E-05,0.4185,0,0.4185,0,0.4185,0,0.4185,0,0.4185,0,0.4185,0,0.837,0,0.837,0,0.837,0
0.0567,6.562906E-05,0.42525,0,0.42525,0,0.42525,0,0.42525,0,0.42525,0,0.42525,0,0.8505,0,0.8505,0,0.8505,0
0.0576,2.047761E-05,0.432,0,0.432,0,0.432,0,0.432,0,0.432,0,0.432,0,0.864,0,0.864,0,0.864,0
0.0585,-3.541619E-05,0.43875,0,0.43875,0,0.43875,0,0.43875,0,0.43875,0,0.43875,0,0.8775,0,0.8775,0,0.8775,0
0.0594,-7.737851E-05,0.4455,0,0.4455,0,0.4455,0,0.4455,0,0.4455,0,0.4455,0,0.891,0,0.891,0,0.891,0
0.0603,-0.0001106127,0.45225,0,0.45225,0,0.45225,0,0.45225,0,0.45225,0,0.45225,0,0.9045,0,0.9045,0,0.9045,0
0.0612,-0.0001467002,0.459,0,0.459,0,0.459,0,0.459,0,0.459,0,0.459,0,0.918,0,0.918,0,0.918,0
0.0621,-0.0001560998,0.46575,0,0.46575,0,0.46575,0,0.46575,0,0.46575,0,0.46575,0,0.9315,0,0.9315,0,0.9315,0
0.063,-0.0001676814,0.4725,0,0.4725,0,0.4725,0,0.4725,0,0.4725,0,0.4725,0,0.945,0,0.945,0,0.945,0
0.0639,-0.0001671778,0.47925,0,0.47925,0,0.47925,0,0.47925,0,0.47925,0,0.47925,0,0.9585,0,0.9585,0,0.9585,0
0.0648,-0.0001478752,0.486,0,0.486,0,0.486,0,0.486,0,0.486,0,0.486,0,0.972,0,0.972,0,0.972,0
0.0657,-0.0001263905,0.49275,0,0.49275,0,0.49275,0,0.49275,0,0.49275,0,0.49275,0,0.9855,0,0.9855,0,0.9855,0
0.0666,-8.879224E-05,0.4995,0,0.4995,0,0.4995,0,0.4995,0,0.4995,0,0.4995,0,0.999,0,0.999,0,0.999,0
0.0675,-6.243992E-05,0.50625,0,0.50625,0,0.50625,0,0.50625,0,0.50625,0,0.50625,0,1.0125,0,1.0125,0,1.0125,0
0.0684,-2.064546E-05,0.513,0,0.513,0,0.513,0,0.513,0,0.513,0,0.513,0,1.026,0,1.026,0,1.026,0
0.0693,2.920577E-05,0.51975,0,0.51975,0,0.51975,0,0.51975,0,0.51975,0,0.51975,0,1.0395,0,1.0395,0,1.0395,0
0.0702,7.553216E-05,0.5265,0,0.5265,0,0.5265,0,0.5265,0,0.5265,0,0.5265,0,1.053,0,1.053,0,1.053,0
0.0711,0.0001143053,0.53325,0,0.53325,0,0.53325,0,0.53325,0,0.53325,0,0.53325,0,1.0665,0,1.0665,0,1.0665,0
0.072,0.0001411612,0.54,0,0.54,0,0.54,0,0.54,0,0.54,0,0.54,0,1.08,0,1.08,0,1.08,0
0.0729,0.000156939,0.54675,0,0.54675,0,0.54675,0,0.54675,0,0.54675,0,0.54675,0,1.0935,0,1.0935,0,1.0935,0
0.07380001,0.0001532464,0.5535,0,0.5535,0,0.5535,0,0.5535,0,0.5535,0,0.5535,0,1.107,0,1.107,0,1.107,0
0.07470001,0.0001384756,0.56025,0,0.56025,0,0.56025,0,0.56025,0,0.56025,0,0.56025,0,1.1205,0,1.1205,0,1.1205,0
0.0756,0.0001156481,0.567,0,0.567,0,0.567,0,0.567,0,0.567,0,0.567,0,1.134,0,1.134,0,1.134,0
0.0765,6.227207E-05,0.57375,0,0.57375,0,0.57375,0,0.57375,0,0.57375,0,0.57375,0,1.1475,0,1.1475,0,1.1475,0
0.0774,1.678492E-05,0.5805,0,0.5805,0,0.5805,0,0.5805,0,0.5805,0,0.5805,0,1.161,0,1.161,0,1.161,0
0.0783,-3.457694E-05,0.58725,0,0.58725,0,0.58725,0,0.58725,0,0.58725,0,0.58725,0,1.1745,0,1.1745,0,1.1745,0
0.0792,-8.258183E-05,0.594,0,0.594,0,0.594,0,0.594,0,0.594,0,0.594,0,1.188,0,1.188,0,1.188,0
0.0801,-0.0001223621,0.60075,0,0.60075,0,0.60075,0,0.60075,0,0.60075,0,0.60075,0,1.2015,0,1.2015,0,1.2015,0
0.081,-0.0001519036,0.6075,0,0.6075,0,0.6075,0,0.6075,0,0.6075,0,0.6075,0,1.215,0,1.215,0,1.215,0
0.0819,-0.0001560998,0.61425,0,0.61425,0,0.61425,0,0.61425,0,0.61425,0,0.61425,0,1.2285,0,1.2285,0,1.2285,0
0.0828,-0.0001549249,0.621,0,0.621,0,0.621,0,0.621,0,0.621,0,0.621,0,1.242,0,1.242,0,1.242,0
0.0837,-0.0001606317,0.62775,0,0.62775,0,0.62775,0,0.62775,0,0.62775,0,0.62775,0,1.2555,0,1.2555,0,1.2555,0
0.0846,-0.0001497215,0.6345,0,0.6345,0,0.6345,0,0.6345,0,0.6345,0,0.6345,0,1.269,0,1.269,0,1.269,0
0.0855,-0.0001183337,0.64125,0,0.64125,0,0.64125,0,0.64125,0,0.64125,0,0.64125,0,1.2825,0,1.2825,0,1.2825,0
0.0864,-9.130999E-05,0.648,0,0.648,0,0.648,0,0.648,0,0.648,0,0.648,0,1.296,0,1.296,0,1.296,0
0.0873,-5.857939E-05,0.65475,0,0.65475,0,0.65475,0,0.65475,0,0.65475,0,0.65475,0,1.3095,0,1.3095,0,1.3095,0
0.0882,-1.359579E-05,0.6615,0,0.6615,0,0.6615,0,0.6615,0,0.6615,0,0.6615,0,1.323,0,1.323,0,1.323,0
0.0891,3.256276E-05,0.66825,0,0.66825,0,0.66825,0,0.66825,0,0.66825,0,0.66825,0,1.3365,0,1.3365,0,1.3365,0
0.09,7.972839E-05,0.675,0,0.675,0,0.675,0,0.675,0,0.675,0,0.675,0,1.35,0,1.35,0,1.35,0
0.0909,0.0001381399,0.68175,0,0.68175,0,0.68175,0,0.68175,0,0.68175,0,0.68175,0,1.3635,0,1.3635,0,1.3635,0
0.0918,0.0001566033,0.6885,0,0.6885,0,0.6885,0,0.6885,0,0.6885,0,0.6885,0,1.377,0,1.377,0,1.377,0
0.0927,0.0001560998,0.69525,0,0.69525,0,0.69525,0,0.69525,0,0.69525,0,0.69525,0,1.3905,0,1.3905,0,1.3905,0
0.0936,0.0001663386,0.702,0,0.702,0,0.702,0,0.702,0,0.702,0,0.702,0,1.404,0,1.404,0,1.404,0
0.09450001,0.0001594568,0.70875,0,0.70875,0,0.70875,0,0.70875,0,0.70875,0,0.70875,0,1.4175,0,1.4175,0,1.4175,0
0.09540001,0.0001248798,0.7155,0,0.7155,0,0.7155,0,0.7155,0,0.7155,0,0.7155,0,1.431,0,1.431,0,1.431,0
0.09630001,8.157473E-05,0.72225,0,0.72225,0,0.72225,0,0.72225,0,0.72225,0,0.72225,0,1.4445,0,1.4445,0,1.4445,0
0.0972,5.270466E-05,0.729,0,0.729,0,0.729,0,0.729,0,0.729,0,0.729,0,1.458,0,1.458,0,1.458,0
0.0981,3.356985E-06,0.73575,0,0.73575,0,0.73575,0,0.73575,0,0.73575,0,0.73575,0,1.4715,0,1.4715,0,1.4715,0
0.099,-5.270466E-05,0.7425,0,0.7425,0,0.7425,0,0.7425,0,0.7425,0,0.7425,0,1.485,0,1.485,0,1.485,0
0.0999,-8.577096E-05,0.74925,0,0.74925,0,0.74925,0,0.74925,0,0.74925,0,0.74925,0,1.4985,0,1.4985,0,1.4985,0
0.1008,-0.0001131304,0.756,0,0.756,0,0.756,0,0.756,0,0.756,0,0.756,0,1.512,0,1.512,0,1.512,0
